Job Title,Comapny Name,Location,Job Description,Link
DATA SCIENTIST,thinkCOMPASS,"Concord, ON","DATA SCIENTISTData scientists will work closely with our business stakeholders to understand their goals and determine how data can be used to achieve those goals. Will design data modeling processes, create algorithms and predictive models to extract the data the business needs, and help analyze the data and share insights with our team. Asking the right questions, acquiring data, communicating results to the team and helping pitch to final clients will be the typical workflow of a Data Scientist at thinkCOMPASS.QualificationsDegree in computer science, data science, engineering, mathematics or statisticsKnowledge of programming languages like R, Python, SQL, C or Java and have strong database design and coding skillsAbility to communicate data findings and results to team and the significance of themStrong problem solving and analytical skillsDatabase interrogation and analysis tools like Hadoop, SQL and SASGreat attention to detailAt least 2 years of experience as a data scientist or analyst",https://ca.indeed.com/rc/clk?jk=30f601f1c4adde9b&fccid=40459fc8ef72ae0e&vjs=3
Senior Data Scientist,Instacart,"Remote in Toronto, ON","We're transforming the grocery industryAt Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible earnings opportunities to Instacart Personal Shoppers.Instacart has become a lifeline for millions of people, and we're building the team to help push our shopping cart forward. If you're ready to do the best work of your life, come join our table.Introducing Our Hybrid Working ModelAs the future of work evolves, so do we. We have a hybrid model where our roles are open to in-office, flex, or remote work. Learn more about our flexible approach to where we work.OVERVIEWYou will be joining a growing data science team and will tackle some of the most challenging and impactful problems that are transforming how people buy groceries every day. You will be embedded within our data-driven product team as a trusted partner in uncovering barriers in the product's usability and utilize these insights to inform product improvements that drive angle-changing growth. We're looking for a self-driven, strategic thinker who can hit the ground running to ultimately influence decision-making across the entire organization.ABOUT THE JOBOwn analytical frameworks that guide the product roadmapDesign rigorous experiments and interpret results to draw detailed and actionable conclusionsDevelop statistical models to extract trends, measure results, and predict future performance of our productBuild simulations to project impact of various product and policy interventionsEnable objective decision making across the company by democratizing data through dashboards and other analytical toolsUse expertise in causal inference, machine learning, complex systems modeling, behavioral decision theory etc. to shape the future of InstacartPresent findings in a compelling way to influence Instacart's leadershipABOUT YOU5+ years experience working in a quantitative role at a product company or a research organizationAbility to run rigorous experiments and come up with scientifically sound recommendationsAbility to write complex, efficient, and eloquent SQL queries to extract dataAbility to write efficient and eloquent code in Python or RA desire to build and improve consumer software productsAbility to translate business needs into analytical frameworksEagerness to learn, flexibility to pivot when needed, savviness to navigate and thrive in a dynamic environment, and a growth mindset needed to build a successful team and company#LI-RemoteAccommodations & AccessibilityAt Instacart, we strive to create an accessible and inclusive experience for all candidates. If you need assistance submitting an application through our career site due to a disability, please submit an Accommodations Request Form and someone from our team will reach out soon to see how we may be able to assist.",https://ca.indeed.com/rc/clk?jk=e422b7edab2f3489&fccid=a06a9e27d7a0ff03&vjs=3
Data Scientist (Top 20 Music Company Globally on Crunchbase),Beatdapp,"Vancouver, BC+6 locations","Beatdapp is a venture-backed startup delivering the most advanced music tracking and fraud detection technology in the world. Ranked #2 startup in Canada and Top 20 Music Companies globally, our industry-leading software helps artists and labels track and audit their media streams for royalty payments. Our fraud detection tools help streaming services identify and fight bots and bad actors!Plus, who doesn't love working with the world's best music labels and artists all day!Data ScientistAs a Data Scientist, you'll work closely with our leadership team, data engineers, and product team to develop supervised and unsupervised models that help identify and fight fraud across music streaming services. You will directly influence our product decisions and help to fight a multi-billion dollar problem plaguing the music industry.ResponsibilitiesDevelop and train supervised and unsupervised models using billions of data points to identify fraud and bad actorsUse strong business acumen, as well as an ability to communicate findings, and mine vast amounts of data for useful insightsUse a combined knowledge of computer science and applications, modeling, statistics, analytics and math to solve complex problemsExtract and enrich data from multiple sources globallyAnalyze data from multiple angles, looking for trends that highlight problems or opportunitiesCommunicate important information and insights to company stakeholdersLead a growing data team to make strategic recommendationsSuccessful Candidates will have3+ years experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data setsKnowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacksKnowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applicationsExperience working with and creating data architecturesStrong problem solving skills with an emphasis on product developmentA drive to learn and master new technologies and techniques",https://ca.indeed.com/rc/clk?jk=bcd33097d9221953&fccid=d5fd8339dedf4268&vjs=3
SAP iXp Intern - Research Data Scientist,SAP,"Waterloo, ON","What we offerOur company culture is focused on helping our employees enable innovation by building breakthroughs together. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from. Apply now!About the SAP Internship Experience Project:The SAP Internship Experience Project is SAP’s global, paid internship program that provides university students with the opportunities to find purpose in their careers.Three reasons to intern at SAP:Culture of collaboration: Meet with mentors, make new friends across the globe and create a thriving personal network.Project-driven experience: Gain cross-functional skills from our virtual and in-person learning sessions, diverse subject matter experts, and project deliverables.Gain visibility: With SAP Internship Experience Project in your title, you’ll have a global network of SAP leaders, entrepreneurs and career development opportunities at your fingertips.About the team:SAP Insights is a creative, editorial-driven research group producing original, market-facing insights that examine how technology innovation impacts business, economic, social issues today and tomorrow. Our work includes global and research surveys, technology and trend reports, alternative futures studies, and documentary film.What you’ll do:Position Title: SAP iXp Intern - Research Data ScientistLocation: Waterloo, ONDuration: 4 or 8 monthsIn this role, you’ll:As a Research Data Scientist on the SAP Insights team, you will be responsible for data analysis and building and visualizing data models using statistical modeling, data mining, or advanced analytic techniques. You will be responsible for seeing through full data analysis for the given project – from data preparation and model development, to analysis and visualizations.Contribute to underlying data analysis, data mining, and modeling for various research projectsConduct and document valid data analysis techniques through use of extensible scriptsMaintain strong focus on quality research methods and self-validate to ensure accurate insightsPresent and summarize findings from complex research data and communicate it in a clear, simple, and understandable mannerCo-develop insights and points of view with research teamParticipate in the writing and publication of public-facing research reportsWho you are:We’re looking for someone who takes initiative, perseveres, and stays curious. You like to work on meaningful innovative projects and are energized by lifelong learning.At least two years of experience with intermediate statistical data analysis, data exploration, effective data visualization, NHST, data mining and/or machine learningSkills with statistical programming languages such as R, Python, Matlab, SPSS, SAS, or SAP (R or Python preferred)Demonstrate moderate levels of independent researcher proficiency when necessaryExperience with data cleansing and preparationPossess strong communication skills with the ability to effectively engage and convey ideas to cross-functional technical and non-technical teamsDemonstrate an enthusiastic entrepreneurial spirit with the ability to work proactivelyPursuing a Bachelor’s degree in Math, Statistics, Computer Science, Engineering, the Social Sciences, and/or other quantitative research related fieldsFollow @SAPiXp on Instagram and don’t miss anything about our experiences worldwide!SAP'S DIVERSITY COMMITMENTTo harness the power of innovation, SAP invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company.SAP is committed to the principles of Equal Employment Opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with SAP and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team (Americas:Careers.NorthAmerica@sap.com or Careers.LatinAmerica@sap.com, APJ: Careers.APJ@sap.com, EMEA: Careers@sap.com). Requests for reasonable accommodation will be considered on a case-by-case basis.EOE AA M/F/Vet/Disability:Qualified applicants will receive consideration for employment without regard to their age, race, religion, national origin, gender, sexual orientation, gender identity, protected veteran status or disability.We are SAPSAP innovations help more than 400,000 customers worldwide work together more efficiently and use business insight more effectively. Originally known for leadership in enterprise resource planning (ERP) software, SAP has evolved to become a market leader in end-to-end business application software and related services for database, analytics, intelligent technologies, and experience management. As a cloud company with 200 million users and more than 100,000 employees worldwide, we are purpose-driven and future-focused, with a highly collaborative team ethic and commitment to personal development. Whether connecting global industries, people, or platforms, we help ensure every challenge gets the solution it deserves. At SAP, we build breakthroughs, together.Our inclusion promiseSAP’s culture of inclusion, focus on health and well-being, and flexible working models help ensure that everyone – regardless of background – feels included and can run at their best. At SAP, we believe we are made stronger by the unique capabilities and qualities that each person brings to our company, and we invest in our employees to inspire confidence and help everyone realize their full potential. We ultimately believe in unleashing all talent and creating a better and more equitable world.SAP is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to the values of Equal Employment Opportunity and provide accessibility accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with SAP and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team: Americas: Careers.NorthAmerica@sap.com or Careers.LatinAmerica@sap.com, APJ: Careers.APJ@sap.com, EMEA: Careers@sap.com.EOE AA M/F/Vet/Disability:Qualified applicants will receive consideration for employment without regard to their age, race, religion, national origin, ethnicity, age, gender (including pregnancy, childbirth, et al), sexual orientation, gender identity or expression, protected veteran status, or disability.Successful candidates might be required to undergo a background verification with an external vendor.Requisition ID:329006 | Work Area: Software-Design and Development | Expected Travel: 0 - 10% | Career Status: Student | Employment Type: Intern |",https://ca.indeed.com/rc/clk?jk=03d8c3627450753d&fccid=156c7820d1988640&vjs=3
Data Scientist,Alberta Securities Commission,"Calgary, AB","Our organization:The Alberta Securities Commission is the industry-funded regulator responsible for administering the province's securities laws. It is entrusted with fostering a fair and efficient capital market in Alberta and with protecting investors. As a member of the Canadian Securities Administrators (CSA), the ASC works to improve, coordinate and harmonize the regulation of Canada's capital markets.The Corporate Finance division is responsible for reviewing the disclosure included in prospectuses and other offering documents; reviewing continuous disclosure by issuers; formulating recommendations for the development of rules, regulatory instruments, policies, and legislative amendments.The opportunity:Reporting to the Manager, Compliance, Data & Risk, you will work with other members of the market intelligence team to provide analyses to the ASC divisions. You will have the opportunity to work with regulatory datasets and develop analyses to help the ASC better understand our capital markets, support proactive compliance and inform policy development. Analyses may require manipulating large or complex datasets and may require developing or enhancing existing databases. Projects are likely to vary over time, which will give you an opportunity to use a variety of methodologies. Candidates should have an interest in learning about market developments and understanding the associated benefits and risks.Key responsibilities include:Working with other team members to define the problem or question being answered, identify the data to be used, and decide on an appropriate methodology.Working with a variety of staff throughout the ASC.Improving the usability of regulatory data sources.Respond to ad-hoc requests for data analysis, ASC reports or publications.When required, participate in analyses related to systemic and emerging risk for the CSA Systemic Risk Committee.The ideal candidate will possess:A degree in finance, economics, mathematics or the physical sciences. Graduate degree preferred.2-5 years work experience as a data scientist.Experience cleaning, transforming and visualizing large data sets.Experience with econometrics, statistical models, or predictive modeling.Proficiency with Python or R, SQL, and Tableau.Experience with kdb+/q is an asset.Must be self-motivated and enjoy finding solutions to problems.Experience in the financial industry is an asset.To apply:Click the Apply For This Job button to submit your resume, cover letter and salary expectations by April 5, 2022. You will be contacted if you are selected for an interview. More information about working at the ASC including our comprehensive Total Rewards package can be found on our website at www.albertasecurities.com.",https://ca.indeed.com/rc/clk?jk=ff1fc663cd309c09&fccid=2a7524b407f9de6a&vjs=3
Senior Data Analyst,nugget.ai,"Toronto, ON+1 location","nugget.ai is working in partnership with Planet4iT to recruit for our clients. nugget.ai and Planet4iT will be responsible for the application process, and our clients will be responsible for the interview and final selection processes.We are looking to hire a Senior Analyst – Data Architecture to join our Data Architecture team.You will take responsibility for managing our master data sets, developing reports, and troubleshooting data issues.To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases.Responsibilities:Performing analysis on data sets to submit findings and recommendations.Managing and designing the reporting environment, including data sources, security, and metadata.Suggesting potential improvements to the data capture process to increase operational efficiency.Providing technical expertise in data storage structures, data mining, and data cleansing.Processing confidential data and information according to guidelines.Managing master dataset, including creation, updates, and deletion.Leveraging data to provide detailed analysis, develop next steps.Tracking Performance and ROI by helping quantify the benefits.Supporting initiatives for data integrity and normalization.Producing various analyses on several projects.Requirements:University degree in business, with specialization in business intelligence or finance, accounting or economics.Ability to gather, analyze and synthesize data from various sources and efficiently present written assessments and communicate results and findings.Passion for complex data analysis and reporting. Understanding of addressing and metadata standards.Good knowledge of data management industry and data visualization tools. ( Tableau an asset )Support initiatives to continuously improve efficiency, workflow, processes, and procedures.Strong customer service skills, attention to detail and exceptional problem solving skills.Proven analytical thinking and ability to work effectively and efficiently.Ability to translate business requirements into non-technical terms.Good interpersonal, oral and written communication skills.Work experience as a data analyst or in a related field.",https://ca.indeed.com/rc/clk?jk=cab651ca0b8614f4&fccid=9272fcc41fd6c68d&vjs=3
"Intern, AI UAT Tester",Kroll,"Toronto, ON","In a world of disruption and increasingly complex business challenges, our professionals bring truth into focus with the Kroll Lens. Our sharp analytical skills, paired with the latest technology, allow us to give our clients clarity—not just answers—in all areas of business. We embrace diverse backgrounds and global perspectives, and we cultivate diversity by respecting, including, and valuing one another. As part of One team, One Kroll, you’ll contribute to a supportive and collaborative work environment that empowers you to excel.At Kroll, your work will help deliver clarity to our clients’ most complex governance, risk, and transparency challenges. Apply now to join One team, One Kroll.SUMMARY:Research Clarity is a platform built by investigators, for investigators that utilizes AI to automate the due diligence process to intelligently surface and classify risk-relevant information on target subjects. The cloud-based platform offers research teams improved efficiencies not possible with manual or fragmented processes. As an Intern, you will perform user acceptance testing by conducting extensive research into companies and individuals using Research Clarity.RESPONSIBILITIES:Work closely with AI/Data Science/Development/QA teamsPerform various searches e.g. adverse media and internet research, global compliance, watch list and sanctions using Research ClarityReview and analyze extensively information gatheredCollate research results into written reportsREQUIREMENTS:Ability to quickly and effectively summaries information from multiple sources into a concise analytical assessmentExcellent written and verbal communication skills that help represent diverse communitiesExperience working with diverse teamsMeticulous attention to detail, a sense of curiosity, and the ability to learn quickly, and a dedication to excellenceIn order to be considered for a position, you must formally apply via careers.kroll.com.Kroll is committed to equal opportunity and diversity, and recruits people based on merit.#dice#LI-JS2#LI-Remote",https://ca.indeed.com/rc/clk?jk=2b08af758d985140&fccid=2991547aff717aed&vjs=3
Data Analyst,ThinkData Works,"Temporarily Remote in Toronto, ON","About ThinkDataThinkData Works Inc. is a Toronto-based technology startup whose data management platform, Namara, is used by some of the foremost organizations in the world to process and refine data into usable products. We host one of the largest repositories of publicly available data - including the world’s largest repository of COVID-19 data - and enable our clients to significantly increase the amount of information they use to fuel solutions. We’ve raised more than $11 million in financing from world-class venture capital firms including First Ascent Ventures, Yaletown Partners, Extreme Venture Partners, and the BDC.Our tech, our growth, and our team have been acknowledged for their excellence through various industry awards including being recognized as one of Canada's Top Growing Companies by the Globe and Mail, one of Canada's Most Admired Corporate Cultures by Waterstone Human Capital, and the Overall Data Science Solution of the Year by Data Breakthrough Awards.About the RoleWe are looking for a Data Analyst to join our Data Team on a contract basis. This role will join our Toronto HQ, and will involve hands-on data wrangling, ingestion and analysis. Our ideal candidate wants to be part of a team that solves real-world problems and enables clients to use better data and use data better. This position will report to the VP of Data and will work closely with the sales team.Job ResponsibilitiesReporting to the VP of Data, and working under the guidance of a senior Field Data Scientist, the Data Analyst plays a key role in the delivery of data products and solutions by:Conducting research to identify data sources and data products for specific client requirementsIngesting and enriching the data on the platformBuilding connectors to data sources, QA-ing and wrangling datasets to conform to ThinkData standardsJob RequirementsDesign and build data products. You are currently enrolled in or have a relevant degree such as Statistics or Mathematics or Data Science and have working knowledge of Python and/or Ruby.Wrangle data. You are familiar with data wrangling using scripts and a variety of tools, such as Pandas, OpenRefine or similar.Collaborate. You can work as part of the team or work autonomously. You are adaptable, flexible, and able to adjust to a dynamic startup environment. Previous experience working at a startup environment is an assetEvolve with us. The landscape is being built under our feet as we move forward, so we need people who can channel their passion, learn quickly, and navigate the unknown at top speed.Must be eligible to work in CanadaWhat’s in it for you?Competitive compensation. You will earn a salary commensurate with your experience.Career development. We believe in informal mentorship and formal training. You will work closely with our VP of Data and have the opportunity to participate in lunch-and-learn workshops.The opportunity to make a mark. We are growing. And with that growth comes the need for people with insights to help us scale. You will have the opportunity to apply your insights, try different methods and introduce best practices, building out a framework for our Data Team.An amazing team. Collaboration across teams is paramount to our success and our culture as we scale. At ThinkData Works, we prioritize mental and physical wellness. We believe in balance as we grow. We play Smash Bros, pool, and board games. We know how to have fun and enjoy spending some extra time together.Need more reasons to join?We may be technologically driven, but like any good Canadian we know the best ideas are thought of up north in a cottage. Before (and hopefully after) COVID-19, we’ve taken annual 3-day retreats for mission setting, aligning with our goals, product management and team building. We’re not saying this involves a beer keg, guitars and campfires. But we’re not saying it doesn’t.We are managing our growth. We continue to promote and nurture the open, collaborative nature of who we are and how we work. And we don’t just support each other in the office. The number of musicians in-house is pretty overwhelming, from big band trumpeters to death metal guitarists. There’s always a co-worker with a gig coming up and we go out to cheer them on.Some final notes before applyingThinkData Works is an equal opportunity employer and encourages applications from members of all backgrounds and perspectives. Accommodations are available on request for candidates with a disability taking part in all aspects of the application process. All qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, gender identity or expression, age, marital status, disability, or national or ethnic origin.We value all of our applicants, but due to the high volume of applications we receive, only those selected for an interview will be contacted.COVID-19 updateAt this time, we are conducting all interviews remotely and most of the team continues to work from home. Our Toronto and UK offices are now adapted to follow social distancing guidelines to keep the team safe. When government restrictions allow, employees have the option of working from the office a few days per week.",https://ca.indeed.com/rc/clk?jk=c9104ba301373fcc&fccid=cc0861c00ab24001&vjs=3
Data Scientist,Sagen,"Oakville, ON","Job SummaryReporting to the VP Modeling, the Data Scientist will support the various stages of Machine Learning Model development and deployment pipelines in a dynamic business environment.ResponsibilitiesSupport the development, calibration, validation implementation, automation, optimization, and monitoring of high impact ML models using Python & R.Develop a good understanding of the business needs and collaborate with other team members towards concept testing and prototype development related to finance, actuarial and risk management reports/data requirements.Responsible for collecting, parsing, visualizing and analyzing large data sets from multiple sources to build predictive models or ad hoc data exploration.Code, test and deploy analytics pipelines to create robust and scalable analytical applications to drive customer-centric automation.Ensures that analytics pipelines are auditable, secure and will serve multiple user groups.Contribute to the knowledge base with centralized documentation and code bank and facilitate workshops for the end users.Skills and QualificationsUniversity degree in Computer Science/IT or any other data and compute intensive field.Hands-on experience in various stages of the Machine Learning Model Lifecycle (Feature Engineering, Feature Selection, Hyperparameter tuning, Model Evaluation, etc.).Solid experience in Python, PySpark, SQL, R, Shell Scripting (Linux OS), and C++.Proficient in using libraries such as NumPy, Pandas, Scikit-learn, Spark ML, etc.Display a sense of urgency, ensuring timely and high-quality deliverables to stakeholders.Demonstrated willingness to learn and adopt new tools/techniques, and open to share the knowledge with others.Sagen is committed to creating a diverse and inclusive work culture that closely matches the diversity of our customers. We encourage applications from all backgrounds and abilities to ensure we get the best, most creative and diverse talent across our business.Sagen will provide accommodations to applicants with disabilities throughout the selection process to meet their individual needs.As an Employer Partner of the Canadian Center for Diversity and Inclusion and a member of the Black North Initiative, Sagen encourages you to apply and join a fantastic organization.",https://ca.indeed.com/rc/clk?jk=9c4349214d9f5834&fccid=6ec54526ebeff5a8&vjs=3
Senior Data Scientist,Bolt,Canada,"Bolt is on a mission to democratize commerce. Since our founding, we’ve relentlessly focused on creating a world class buying experience that’s available for all online businesses – not just the giants of retail. Through CheckoutOS and our growing network of tens of millions of shoppers ready for one-click-checkout at the point of inspiration, Bolt is leveling the playing field for retailers and making shopping easy, trusted, and secure for consumers.The fact that we're revolutionizing ecommerce is only half of the equation – we’re also transforming the way we work. At Bolt, we’re committed to working Consciously, and believe in balancing execution with humanity. Our team is driven by the great technical challenges in our path, and by the thrill of creating a new standard for work. Come join us on the adventure today!The Data Platform team works closely with all teams and cross-functional partners (including product, engineering, and data analysts) to build a foundational data stack powering business analytics.We are looking for someone to play a mission-critical role in designing and building the data mining algorithms, and data analytics pipelines at Bolt. We’re looking for someone with the experience, creativity, and passion for producing world-class technology who can support our product, leadership and marketing teams with insights gained from analyzing our data. Other teams at Bolt, other companies, and consumers alike will rely heavily on what you build, and you’ll have a ton of trust and responsibility. If challenges excite you, and you’re ready for a large one, let us know.Check out our Engineering Blog!You will:Build production ready data mining and big data analytics algorithms and pipelines; your models will be the engine that powers all online commerce through BoltConduct data analysis to determine which policies we adopt and help inform strategic growthBuild statistical models, data pipelines, data mining, data analytics, and production ready services to serve offline and live trafficWork with other teams at Bolt to engineer data models and extract data insights that help improve Bolt businessAbout you:Passion to improve e-commerce businessesStrong communication skills in a cross-functional teamUnrelenting focus on impactMaster's degree in relevant technical disciplineKnowledge of data mining, and big data analytics techniquesKnowledge of statistical concepts and techniquesMastery in one or more of Python, Java, Scala, SQLOur stack:AWS Lambda for data ingestion and Kinesis Firehose to transport them into S3Step functions and Lambdas to coordinate workflowsAWS Redshift as the data warehouse + Spark on EMR for doing ETLTerraform for maintaining infraJenkins & CircleCI for build pipelinesPostgres RDS is our application databaseOur code base is primarily in Golang & Typescript. However, our data bits are mostly in Python.Benefits:Competitive PayFlexible PTORetirement plansCell phone reimbursementWifi reimbursementComprehensive health coverage: Medical, dental and visionMonthly wellness stipendPaid parental leaveMonthly (virtual) team eventsBolt is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. If you have a disability or special need that requires accommodation, please let us know#LI-Remote",https://ca.indeed.com/rc/clk?jk=406b3796b9b54cf3&fccid=2472edbe03e34796&vjs=3
Data Scientist/Time Series,Scarsin,"Markham, ON","Reporting directly to the Director of Data Science, this role is pivotal in implementing advanced time series solutions to deliver high quality results to clients.You will be interacting with multi-function teams, including data integration, model development and other consulting functions to implement best practice and thought leadership.This role also works very closely with client project sponsors to ensure client satisfaction and business requirement fulfillment.Duties and ResponsibilitiesImplement currently available time series forecasting modelsDevelop customized forecasting algorithms required by specifications of each projectPrototype, simulate and benchmark accuracy of algorithmsDevelops production-ready codes in RWorks with main stakeholders including but not limited to: Account Executives, Management, Project Managers and Consulting TeamsPerforms various other duties as delegated or assigned.Required Knowledge, Skills, and ExperienceThe successful incumbent will have:Graduate degree in a Statistics, Math Computer Science or Engineering program;Proficient in time series analysis and forecastingFundamental knowledge of supervised and unsupervised Machine LearningExperience with data preprocessing, anomaly/outlier detectionAdvanced programming skills in R language is mandatory;Knowledge of pharmaceutical industry is an asset;Capability to adapt in fast changing environment and eager to learnThe ability to travel and work outside regular business hours as required;Proven, motivated self-starter with the ability to lead by example and approach and solve business problems;Experience working in cross-functional teams with the agility to learn new software applications and technologies;Demonstrated time management, problem solving and decision making competencies;Ability to work autonomously and in teams to effectively prioritize multiple projects and associated deliverables;Proven excellent communication, including presentation, hands on analytical with business savviness and customer relationship abilities;Proven ability to comprehend, analyze and research problems of a complex nature, make decisions and/or present recommendations;Preference for fast paced, rapid start-up culture demonstrating the values of results, teamwork, energy, agility, respect, and can-do environment",https://ca.indeed.com/rc/clk?jk=e97e7d4b249d30c2&fccid=ca1eb7a6353c159a&vjs=3
Data Scientist (Top 20 Music Company Globally on Crunchbase),Beatdapp,"Vancouver, BC+6 locations","Beatdapp is a venture-backed startup delivering the most advanced music tracking and fraud detection technology in the world. Ranked #2 startup in Canada and Top 20 Music Companies globally, our industry-leading software helps artists and labels track and audit their media streams for royalty payments. Our fraud detection tools help streaming services identify and fight bots and bad actors!Plus, who doesn't love working with the world's best music labels and artists all day!Data ScientistAs a Data Scientist, you'll work closely with our leadership team, data engineers, and product team to develop supervised and unsupervised models that help identify and fight fraud across music streaming services. You will directly influence our product decisions and help to fight a multi-billion dollar problem plaguing the music industry.ResponsibilitiesDevelop and train supervised and unsupervised models using billions of data points to identify fraud and bad actorsUse strong business acumen, as well as an ability to communicate findings, and mine vast amounts of data for useful insightsUse a combined knowledge of computer science and applications, modeling, statistics, analytics and math to solve complex problemsExtract and enrich data from multiple sources globallyAnalyze data from multiple angles, looking for trends that highlight problems or opportunitiesCommunicate important information and insights to company stakeholdersLead a growing data team to make strategic recommendationsSuccessful Candidates will have3+ years experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data setsKnowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacksKnowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applicationsExperience working with and creating data architecturesStrong problem solving skills with an emphasis on product developmentA drive to learn and master new technologies and techniques",https://ca.indeed.com/rc/clk?jk=bcd33097d9221953&fccid=d5fd8339dedf4268&vjs=3
